order_id,user_id,product_id,post_id,bandId,customer_name,customer_bandId,customer_profile,quantity,price,total_amount,comment,status,ordered_at,confirmed_at,completed_at,band_comment_id,band_comment_url,admin_note,updated_at,history,canceled_at,price_option_used,content
82443310_26183_0,f2daf0ee-fdb4-4c04-bcc4-6669a30d7d35,6aa8f297715de1771986f0a6d341660ba29925641178ce0bb7284a9eb9f55d23,26183,82443310,윤가네,,,1,8900,8900,1세트,주문완료,2025-03-31 02:15:00+00,,,26183_comment_0,https://band.us/band/82443310/post/26183#comment,,,,,기본가,
82443310_26183_1,f2daf0ee-fdb4-4c04-bcc4-6669a30d7d35,6aa8f297715de1771986f0a6d341660ba29925641178ce0bb7284a9eb9f55d23,26183,82443310,가빈과일첫째,,,4,8900,35600,@윤가네 감사합니다1,주문완료,2025-03-31 02:21:00+00,,,26183_comment_1,https://band.us/band/82443310/post/26183#comment,,,,,기본가,
82443310_26183_10,f2daf0ee-fdb4-4c04-bcc4-6669a30d7d35,6aa8f297715de1771986f0a6d341660ba29925641178ce0bb7284a9eb9f55d23,26183,82443310,광은,,,1,8900,8900,1세트요,주문완료,2025-03-31 04:34:00+00,,,26183_comment_10,https://band.us/band/82443310/post/26183#comment,,,,,기본가,
82443310_26183_11,f2daf0ee-fdb4-4c04-bcc4-6669a30d7d35,6aa8f297715de1771986f0a6d341660ba29925641178ce0bb7284a9eb9f55d23,26183,82443310,접시꽃,,,1,8900,8900,1세트요,주문완료,2025-03-31 04:35:00+00,,,26183_comment_11,https://band.us/band/82443310/post/26183#comment,,,,,기본가,
82443310_26183_12,f2daf0ee-fdb4-4c04-bcc4-6669a30d7d35,6aa8f297715de1771986f0a6d341660ba29925641178ce0bb7284a9eb9f55d23,26183,82443310,가빈과일첫째,,,4,8900,35600,@유정 @광은 @접시꽃 감사합니다9,주문완료,2025-03-31 04:43:00+00,,,26183_comment_12,https://band.us/band/82443310/post/26183#comment,,,,,기본가,
82443310_26183_2,f2daf0ee-fdb4-4c04-bcc4-6669a30d7d35,6aa8f297715de1771986f0a6d341660ba29925641178ce0bb7284a9eb9f55d23,26183,82443310,정현,,,1,8900,8900,1세트,주문완료,2025-03-31 02:36:00+00,,,26183_comment_2,https://band.us/band/82443310/post/26183#comment,,,,,기본가,
82443310_26183_3,f2daf0ee-fdb4-4c04-bcc4-6669a30d7d35,6aa8f297715de1771986f0a6d341660ba29925641178ce0bb7284a9eb9f55d23,26183,82443310,태인,,,1,8900,8900,1세트요,주문완료,2025-03-31 02:43:00+00,,,26183_comment_3,https://band.us/band/82443310/post/26183#comment,,,,,기본가,
82443310_26183_4,f2daf0ee-fdb4-4c04-bcc4-6669a30d7d35,6aa8f297715de1771986f0a6d341660ba29925641178ce0bb7284a9eb9f55d23,26183,82443310,가빈과일첫째,,,4,8900,35600,@정현 @태인 감사합니다3,주문완료,2025-03-31 02:55:00+00,,,26183_comment_4,https://band.us/band/82443310/post/26183#comment,,,,,기본가,
82443310_26183_5,f2daf0ee-fdb4-4c04-bcc4-6669a30d7d35,6aa8f297715de1771986f0a6d341660ba29925641178ce0bb7284a9eb9f55d23,26183,82443310,나다구,,,1,8900,8900,1세트요,주문완료,2025-03-31 02:56:00+00,,,26183_comment_5,https://band.us/band/82443310/post/26183#comment,,,,,기본가,
82443310_26183_6,f2daf0ee-fdb4-4c04-bcc4-6669a30d7d35,6aa8f297715de1771986f0a6d341660ba29925641178ce0bb7284a9eb9f55d23,26183,82443310,가빈과일첫째,,,4,8900,35600,@나다구 감사합니다4,주문완료,2025-03-31 03:02:00+00,,,26183_comment_6,https://band.us/band/82443310/post/26183#comment,,,,,기본가,
82443310_26183_7,f2daf0ee-fdb4-4c04-bcc4-6669a30d7d35,6aa8f297715de1771986f0a6d341660ba29925641178ce0bb7284a9eb9f55d23,26183,82443310,아이모,,,1,8900,8900,1세트요~ 내일 가지러갈게요~,주문완료,2025-03-31 03:08:00+00,,,26183_comment_7,https://band.us/band/82443310/post/26183#comment,,,,,기본가,
82443310_26183_8,f2daf0ee-fdb4-4c04-bcc4-6669a30d7d35,6aa8f297715de1771986f0a6d341660ba29925641178ce0bb7284a9eb9f55d23,26183,82443310,가빈과일첫째,,,2,8900,17800,@아이모 감사합니다5,주문완료,2025-03-31 03:11:00+00,,,26183_comment_8,https://band.us/band/82443310/post/26183#comment,,,,,기본가,
82443310_26183_9,f2daf0ee-fdb4-4c04-bcc4-6669a30d7d35,6aa8f297715de1771986f0a6d341660ba29925641178ce0bb7284a9eb9f55d23,26183,82443310,유정,,,2,8900,17800,2세트요,주문완료,2025-03-31 04:24:00+00,,,26183_comment_9,https://band.us/band/82443310/post/26183#comment,,,,,기본가,
82443310_26184_0,f2daf0ee-fdb4-4c04-bcc4-6669a30d7d35,09abb9b0e8ec5626f94096d4cc834d8968b542e35fed2df8f870db7d4ea64c75,26184,82443310,경서,,,1,9900,9900,1판 주문할게요~,주문완료,2025-03-31 02:37:00+00,,,26184_comment_0,https://band.us/band/82443310/post/26184#comment,,,,,30구,
